Authors,Title,Year,Abstract,Cited by
Chang C.-H.; Chen M.; Tsai M.-H.; Huang Y.-C.; Liou H.-H.; Shia B.-C.; Liang C.; Fang Y.-W.,Machine Learning Prediction of Progression to Dialysis in Patients With Polycystic Kidney Disease: Population-Based Retrospective Cohort Study,2026,"Background: Autosomal dominant polycystic kidney disease (ADPKD), characterized by progressive cyst growth and renal decline, is the leading genetic cause of end‐stage renal disease. Objective: This study aims to develop and validate machine learning (ML) models for predicting the risk of progression to dialysis in patients with ADPKD using a nationwide administrative database. Early identification of high-risk patients is critical for timely monitoring. Methods: This retrospective cohort study used data from Taiwan’s National Health Insurance Research Database (2007‐2018) to identify newly diagnosed patients with ADPKD. Six ML algorithms, including logistic regression, random forest, and extreme gradient boosting (XGBoost), were employed to predict progression to dialysis. Models were developed using 10-fold cross-validation, with the Synthetic Minority Oversampling Technique applied within training folds to address class imbalance. An ensemble-based feature selection strategy was implemented to identify the most robust predictors and optimize final model performance. Model evaluation was conducted using a strict temporal split. Results: The study included 1856 patients with ADPKD, of whom 302 (16.27%) progressed to dialysis. Multivariable Cox regression identified several significant risk factors, including age 66 years and older (hazard ratio [HR] 4.63, 95% CI 2.71‐7.92; P<.001), anemia (HR 4.33, 95% CI 3.25‐5.78; P<.001), congestive heart failure (HR 1.81, 95% CI 1.29‐2.54; P<.001), and acute kidney injury (HR 1.69, 95% CI 1.19‐2.41; P=.003). Among the ML models, the XGBoost model, using an optimized set of 27 features, demonstrated the highest predictive performance on the held-out temporal test set (accuracy 98.3%; area under the curve 0.955; F1-score 0.800; Brier score 0.022). The top predictors in the XGBoost model largely aligned with age, comorbidity burden, anemia, and cardiovascular disease markers. Medication use (eg, anticoagulants, loop diuretics, febuxostat) was also among the most influential predictors; however, medication-related predictors should be interpreted as proxies for disease complexity rather than direct risk modulators. Conclusions: ML models can predict dialysis risk in patients with ADPKD using administrative data with temporal validation. This approach may support risk stratification by helping identify individuals at higher predicted risk who may warrant closer monitoring and further specialist evaluation. © Cheng-Hao Chang, Mingchih Chen, Ming-Hsien Tsai, Yen-Chun Huang, Hung-Hsiang Liou, Ben-Chang Shia, Chingying Liang, Yu-Wei Fang.",
Dukhi N.; Sewpaul R.; Sekgala M.D.; Awe O.O.,Artificial intelligence approach for analyzing anaemia prevalence in children and adolescents in brics countries: A review,2021,"Anemia prevalence, especially among children and adolescents, is a serious public health burden in the BRICS countries. This article gives an overview of the current anaemia status in children and adolescents in three BRICS countries, as part of a study that utilizes an artificial intelligence approach for analyzing anaemia prevalence in children and adolescents in South Africa, India and Russia. It posits that the use of machine learning in this area of health research is still novel. The weightage assessment of the crosslink between anaemia risk indicators using a machine learning approach will assist policy makers in identifying the areas of priority to intervene in the BRICS participating countries. Health interventions utilizing artificial intelligence and more specifically, machine learning techniques, remains nascent in LMICs but could lead to improved health outcomes. © 2021 The Author(s).",21.0
Beninger P.,Pharmacovigilance: An Overview,2018,"Purpose: Pharmacovigilance (PV) is a relatively new discipline in the pharmaceutical industry. Having undergone rapid growth over the past 2 decades, PV now touches many other disciplines in the research and development enterprise. With its growth has come a heightened awareness and interest in the medical community about the roles that PV plays. This article provides insights into the background and inner workings of PV. Methods: This narrative review covers the core PV activities and other major areas of the pharmaceutical enterprise in which PV makes significant contributions. Findings: Drug safety monitoring activities were organized by the US Food and Drug Administration and academic medical centers in the early 1950s in response to growing concern over the occurrence of aplastic anemia and other blood dyscrasias associated with the use of chloramphenicol. This experience was codified in the 1962 Kefauver-Harris Amendments to the Federal Food, Drug and Cosmetic Act as adverse event evaluation and reporting requirements. The ensuing decades have seen the development of core PV functions for pharmaceutical companies: case management, signal management, and benefit-risk management. A broader scope of PV has developed to include the following major activities: support of patient safety during the conduct of clinical trials through assuring proper use of informed consent and institutional review boards (ethics committees); selection of the first safe dose for use in humans, based on pharmacologic data obtained in animal studies; development of the safety profile for proper use of a new molecular entity and appropriate communication of that information to the range of relevant stakeholders; attendance to surveillance activities through a set of signal management processes; monitoring the manufactured product itself through collaborative activities with manufacturing professionals; management of benefit–risk to assure appropriate use in medical care after marketing; and maintenance of inspection readiness as a corporate cultural process. Implications: The extent and pace of change promise to accelerate with the integration of biomedical informatics, analytics, artificial intelligence, and machine learning. This progress has implications for the development of the next generation of PV professionals who will need to be trained in entirely new skill sets to lead continued improvements in the safe use of pharmaceuticals. © 2018 Elsevier Inc.",130.0
Shahid A.; Zahra A.; Aslam S.; Shamim A.; Ali W.R.; Aslam B.; Khan S.H.; Arshad M.I.,Appraisal of CRISPR Technology as an Innovative Screening to Therapeutic Toolkit for Genetic Disorders,2026,"The high frequency of genetic diseases compels the development of refined diagnostic and therapeutic systems. CRISPR is a precise genome editing tool that offers detection of genetic mutation with high sensitivity, specificity and flexibility for point-of-care testing in low resource environment. Advancements in CRISPR ushered new hope for the detection of genetic diseases. This review aims to explore the recent advances in CRISPR for the detection and treatment of genetic disorders. It delves into the advances like next-generation CRISPR diagnostics like nano-biosensors, digitalized CRISPR, and omics-integrated CRISPR technologies to enhance the detection limits and to facilitate the “lab-on-chip” technologies. Additionally, therapeutic potential of CRISPR technologies is reviewed to evaluate the implementation potential of CRISPR technologies for the treatment of hematological diseases, (sickle cell anemia and β-thalassemia), HIV, cancer, cardiovascular diseases, and neurological disorders, etc. Emerging CRISPR therapeutic approaches such as base/epigenetic editing and stem cells for the development of foreseen CRIPSR drugs are explored for the development of point-of-care testing. A combination of predictive models of artificial intelligence and machine learning with growing knowledge of genetic disorders has also been discussed to understand their role in acceleration of genetic detection. Ethical consideration are briefly discussed towards to end of review. This review provides the comprehensive insights into advances in the CRISPR diagnostics/therapeutics which are believed to pave the way for reliable, effective, and low-cost genetic testing. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.",
Yu E.A.; Zacharias H.U.; Kelly S.; Vichinsky E.,Improving healthspan among people with sickle cell disease: Leveraging precision health in an era of treatments with curative intent,2024,[No abstract available],
Alves V.M.; Korn D.; Pervitsky V.; Thieme A.; Capuzzi S.J.; Baker N.; Chirkova R.; Ekins S.; Muratov E.N.; Hickey A.; Tropsha A.,Knowledge-based approaches to drug discovery for rare diseases,2022,"The conventional drug discovery pipeline has proven to be unsustainable for rare diseases. Herein, we discuss recent advances in biomedical knowledge mining applied to discovering therapeutics for rare diseases. We summarize current chemogenomics data of relevance to rare diseases and provide a perspective on the effectiveness of machine learning (ML) and biomedical knowledge graph mining in rare disease drug discovery. We illustrate the power of these methodologies using a chordoma case study. We expect that a broader application of knowledge graph mining and artificial intelligence (AI) approaches will expedite the discovery of viable drug candidates against both rare and common diseases. © 2021",40.0
Dey M.; Kamal A.H.M.,An Efficient Machine Learning Technique to Predict Chronic Kidney Disease (CKD),2026,"Chronic Kidney Disease (CKD) is a pressing global health issue that affects millions of individuals and requires early prediction to reduce severe complications and improve clinical outcomes. In this study, an efficient machine learning framework is proposed to predict CKD with high accuracy and generalization ability. Feature significance was analyzed using three statistical measures—heatmap correlation analysis, information gain, and standard deviation—calculated for average, minimum, and maximum values. To evaluate predictive performance, Logistic Regression (LR), Support Vector Machine (SVM), and Multi-Layer Perceptron (MLP) classifiers were employed. Experimental findings reveal that the average feature scores deliver the highest classification accuracy (100%), while the minimum values yield reduced model complexity without sacrificing performance. Specifically, by eliminating nine non-critical features (specific gravity, packed cell volume, hemoglobin, red blood cell count, bacteria, coronary artery disease, pus cell clumps, anemia, and pedal edema), Logistic Regression achieved 100% accuracy. Likewise, the maximum-value-based evaluation reported an accuracy of 96.75% when one redundant feature was removed. These results demonstrate the effectiveness of selective feature elimination in minimizing computational load while maintaining robust prediction capability. The proposed methodology enhances early CKD detection, supports timely medical interventions, and offers a cost-efficient diagnostic tool. The novelty of this work lies in the integration of three feature importance measures to optimize model performance, thereby contributing a mathematically balanced and clinically significant framework for CKD prediction. © 2025, National Institute of Science Communication and Policy Research. All rights reserved.",
Zhu H.; Huang J.; Zheng J.; Zhou C.; Zhu T.; Zhang M.; Zhao L.; Wu X.; Xue J.; Zhou X.-N.; Li S.; Qian M.,Spatial distribution patterns and risk factors of hookworm disease in China: A study based on successive national surveillance,2025,"Background Hookworm infection, a neglected tropical disease (NTD) causing iron-deficiency anaemia and malnutrition in low-income populations with poor sanitation, poses a considerable public health challenge in China and worldwide. Methods National surveillance across 31 provincial-level administrative divisions (PLADs) from 2016 to 2021 assessed regional and population-specific hookworm prevalence. Geospatial methods, such as global and local autocorrelation, hotspot detection, spatiotemporal clustering detection and standard deviation ellipse (SDE) analysis characterized distribution patterns. Machine learning identified key determinants and their associations with infection rates, revealing primary influence factors based on 7,929 township records and 40 environmental, climatic and anthropogenic variables. Results Significant geographic disparities emerged, with the highest infection rates in south-western regions and the lowest in the Northeast. Spatial analyses demonstrated significant clustering, with persistent south-western hotspots and northeastern coldspots (P < 0.001). Spatiotemporal scanning identified three significant clusters, while SDE analysis indicated stable northeast-southwest orientation with minimal centroid variation. Females and individuals ≥60 years showed elevated susceptibility. Machine learning demonstrated strong predictive capacity, with key risk factors identified as the frequency of barefoot farming, land cover, average relative humidity in the third quarter and average monthly sunshine duration in the third quarter. Conclusions Hookworm disease clusters in south-western China, disproportionately affecting women and the elderly. Barefoot farming emerged as the primary risk factor, with infection rates positively associated with temperature, humidity and negatively with sunlight duration. The results support recommendations to target intervention zones in endemic areas, implement population-specific prevention programs and intensify health education to advance transmission control. © 2025 Zhu et al.",
Nemlander E.; Abedi E.; Ljungman P.; Hasselström J.; Carlsson A.C.; Rosenblad A.,"The Stockholm early detection of cancer study (STEADY-CAN): rationale, design, data collection, and baseline characteristics for 2.7 million participants",2025,"The Stockholm Early Detection of Cancer Study (STEADY-CAN) cohort was established to investigate strategies for early cancer detection in a population-based context within Stockholm County, the capital region of Sweden. Utilising real-world data to explore cancer-related healthcare patterns and outcomes, the cohort links extensive clinical and laboratory data from both inpatient and outpatient care in the region. The dataset includes demographic information, detailed diagnostic codes, laboratory results, prescribed medications, and healthcare utilisation data. Since its inception, STEADY-CAN has collected longitudinal data on 2,732,005 individuals aged ≥ 18 years old living in or having access to health care in Stockholm County during the years 2011–2021. Focusing on cancer, the cohort includes 140,042 (5.1%) individuals with incident cancer and a control group of 2,591,963 (94.9%) cancer-free individuals. The cohort’s diverse adult population enables robust analyses of early symptom detection, incidental findings, and the impact of comorbidities on cancer diagnoses. Utilizing the wide range of available laboratory data and clinical variables allow for advanced statistical analyses and adjustments for important confounding factors. The cohort’s primary focus is to improve understanding of the early diagnostic phase of cancer, offer-ing a crucial resource for studying cancer detection in clinical practice. Its comprehensive data collection provides unique opportunities for research into comorbidities and cancer outcomes, making the cohort a useful resource for ongoing cancer surveillance and public health strategies. The present study gives a detailed description of the rationale for creating the STEADY-CAN cohort, its design, the data collection procedure, and baseline characteristics of collected data. © The Author(s) 2025.",
Kulasekararaj A.G.,AI for AA: machine learning makes an entry,2023,[No abstract available],2.0
